anakjakartaasikasik,anak jakarta asyik asyik
betulin,betulkan
beud,banget
beut,banget
bg,bagi
bgd,banget
bgerak,gerak
bget,banget
bgi,bagi
bgini,begini
bgitu,begitu
bgks,bungkus
bgm,bagaimana
bgmn,bagaimana
bgmna,bagaimana
bgn,bangun
bgni,begini
bgntdr,bangun tidur
bgs,bagus
bgst,bangsat
bgt,banget
bgtu,begitu
bgus,bagus
bhay,selamat tinggal
bhinekaan,bineka
bhinneka,bineka
bhkan,bahkan
bhn,bahan
bhong,bohong
bhs,bahas
bhw,bahwa
bhwa,bahwa
bhy,bahaya
biarin,biarkan
biarpn,biarpun
bijimane,bagaimana
bisenye,bisanya
bistu,habis itu
bisya,bisa
biza,bisa
bj,baju
bju,baju
bk,buku
bkan,bukan
bkap,ayah
bkin,bikin
bkl,bakal
bkn,bukan
bkna,bukannya
bkp,ayah
bkr,bakar
bks,bungkus
bl,beli
blajar,ajar
blakan,blak
blg,bilang
blh,boleh
bli,beli
blik,balik
blingsatanya,belingsatan
bljr,ajar
blk,balik
blkg,belakang
blkng,belakang
blkngny,belakangnya
blm,belum
bln,bulan
blng,bilang
blngn,bilangan
blom,belum
blon,belum
bloon,belum
bls,balas
blum,belum
bndg,bandung
bndr,bandar
bner,benar
bneran,benar
bnget,banget
bngks,bungkus
bngng,bingung
bngsa,bangsa
bngt,banget
bngun,bangun
bnr,benar
bnrbnr,benar benar
bnrn,benaran
bntar,sebentar
bntr,sebentar
bnyak,banyak
bnyk,banyak
bnykny,banyak
bobo,tidur
bobok,tidur
bodo,bodoh
bokap,ayah
bokaps,ayah
bokapz,ayah
bole,boleh
boong,bohong
bosen,bosan
boskuh,bosku
boten,tidak
bozen,bosan
bozn,bosan
bp,bapak
bpak,bapak
bpk,bapak
br,baru
brani,berani
brantas,berantas
brapa,berapa
brarti,arti
brasa,berasa
bravoo,bravo
breake,istirahat
breaking,istirahat
brengsek,berengsek
brg,barang
brgkt,berangkat
brharap,harap
brhsl,berhasil
brikut,ikut
bringas,beringas
brisik,berisik
brjln,jalan
brjuang,juang
brkeliaran,berkeliaran
brkfst,sarapan
brkpntingan,berkepentingan
brkumandang,berkumandang
brmslh,bermasalah
brngkt,berangkat
brp,berapa
brpa,berapa
brpedoman,berpedoman
brrti,arti
brs,beres
brsal,berasal
brsama,sama
brsamamu,bersamamu
brshbt,bersahabat
brsm,sama
brtahan,bertahan
brthn,bertahan
brtmn,berteman
bru,baru
bruh,buruh
bryaw,sabar ya
bryw,sabar ya
bs,bisa
bsa,bisa
bsk,besok
bsok,besok
bsoq,besok
bsr,besar
bte,bosan
btg,batang
bth,butuh
btl,betul
btul,betul
btull,betul
buad,buat
buatapa,buat apa
buatin,buatkan
bubarin,bubarkan
bukabukaan,buka bukaan
bukane,bukannya
bukn,bukan
buktiin,buktikan
buktikqn,buktikan
bul,kibul
bulshit,kibul
buryam,bubur ayam
buzer,buzzer
buzzerahoaxsebarkanhoax,buzzer ahok sebar hoaks
buzzerbuzzernya,buzzer buzzernya
bw,bawa
bwa,bawa
bwaanx,bawaan
bwh,bawah
bwt,buat
byak,banyak
byk,banyak
bynk,banyak
byr,bayar
bzen,bosan
bzn,bosan
cabut,pergi
cagubnya,calon gubernurnya
cahya,cahaya
caiank,sayang
caiyo,semangat
cakep,cakap
cantek,cantik
capek,cape
caturx,catur
cayo,semangat
cb,coba
cecunguk2nya,cecunguk cecunguknya
ceheheheh,hehe
cekola,sekolah
cekolah,sekolah
celalaw,selalu
celalu,selalu
cemen,takut
cemplungin,mencemplungkan
cemungudh,semangat
cemungut,semangat
cemunguth,semangat
centuryataumuniratauhambalang,century munir atau hambalang
cepat2,cepat cepat
cepet,cepat
ceplas,ceplos
ceppat,cepat
cewe,cewek
ciamik,indah
ciap,siap
ciayou,semangat
cibuq,sibuk
cie,wah
ciee,wah
cini,sini
cino,cina
citizens,warga kota
ciyan,kasihan
ciye,wah
ciyus,serius
ckck,wkwk
ckp,cukup
ckrg,sekarang
ckup,cukup
cling,bersih
cll,selalu
cllu,selalu
cllw,selalu
cm,cuma
cma,cuma
cman,cuma
cmn,cuma
cmpk,cempaka
col,keren
compares,membandingkan
congrats,selamat
congratulation,selamat
corruptions,korupsi
corruptors,koruptor
cowo,cowok
coz,soal
cpat,cepat
cpe,cape
cpee,cape
cpet,cepat
cpt,cepat
cptn,cepatan
crt,cerita
crying,menangis
cs,rekan
cth,contoh
cukupsatuputaran,cukup satu putaran
cuman,cuma
cw,cewek
cwe,cewek
cwo,cowok
d,di
da,dan
dah,sudah
dalah,adalah
dalem,dalam
dann,dan
dapa,ada apa
dapah,ada apa
dapet,dapat
dapetin,dapat
daripaddatidda,dari pada tidak
datangin,datang
dateng,datang
daut,daud
dblg,dibilang
dblkng,di belakang
dbls,dibalas
dbwt,buat
dbyr,dibayar
ddpn,di depan
dduk,duduk
de,deh
demen,suka
democrazy,demokrasi gila
demodemo,demo demo
demodemonov,demo november
denger,dengar
dengn,dengan
depa,depan
des,desember
dewadewa,dewa dewa
dftr,daftar
dg,dengan
dgn,dengan
dgr,dengar
dgrn,dengarkan
dh,sudah
dhewan,dewan
diaa,dia
diajakin,diajak
dianutny,dianutnya
diapain,diapakan
dibelakanghari,di belakang hari
dibiarin,biar
dibobongin,dibodohi
dibodohin,dibodohi
dibohongin,dibohongi
dibohonginataudibodohin,dibohongi atau dibodohi
diboongin,dibohongi
dibuatx,dibuatnya
dibudigunawankan,di budi gunawankan
dicuekin,dicueki
didenger,didengar
didengerin,didengarkan
didiemin,didiamkan
didlam,di dalam
didzalimi,dizalimi
die,dia
diem,diam
diem2,diam diam
digembosin,digembosi
diginiin,dibeginikan
dijadiin,jadi
dijatohin,dijatuhi
dijdkn,jadi
dikenyataanya,pada kenyataannya
dikirain,dikiranya
dikit,sedikit
dimance,di mana
dimandose,di mana sih
dimans,dimana
dimonitoring,pantau
dinaikin,dinaiki
dinegri,di negeri
dipake,dipakai
dipemjara,di penjara
diperes,diperas
dipikirin,dipikirkan
dipilkada,di pilkada
diprose,diproses
dirix,dirinya
dirmh,di rumah
disalahgunakan,salah guna
disamarinda,di samarinda
disewotin,disewoti
disumpahdisumpahin,disumpahi
ditemenin,ditemani
ditentukn,tentu
ditetapknnya,tetap
ditrsangkakan,ditersangkakan
dittapkn,tetap
diyem,diam
dizhalimi,dizalimi
dizholimi,dizalimi
dizolimi,dizalimi
djakarta,di jakarta
djasatuputaran,di satu putaran
djkt,di jakarta
djl,di jalan
djln,di jalan
djmin,dijamin
dkat,dekat
dket,dekat
dkijakarta,dki jakarta
dkls,di kelas
dkmps,di kampus
dkmr,di kamar
dkntr,di kantor
dksh,dikasih
dkt,dekat
dl,dulu
dlm,dalam
dlmnya,dalamnya
dlrng,larang
dlu,dulu
dluan,lebih dahulu
dmana,di mana
dmkn,dimakan
dmn,di mana
dmna,di mana
dmnmn,di mana mana
dmny,di mana
dn,dan
dng,dengan
dngan,dengan
dngar,dengar
dnger,dengar
dngerin,dengarkan
dngn,dengan
dngr,dengar
doain,doakan
doank,saja
doi,dia
dongok,dungu
donlot,unduh
dont,do not
doyan,suka
dp,uang muka
dpan,depan
dpet,dapat
dpk,depok
dpkrkn,dipikirkan
dpn,depan
dpnrmh,di depan rumah
dpt,dapat
dr,dari
drg,dokter gigi
drh,darah
dri,dari
drmh,di rumah
drmn,dari mana
drpd,daripada
drtd,dari tadi
drumah,di rumah
dsar,dasar
dsb,dan sebagainya
dsblh,di sebelah
dsini,di sini
dsklh,di sekolah
dsni,di sini
dsnii,di sini
dst,dan seterusnya
dtetapak,tetap
dtg,datang
dtgn,datang
dtgny,datangnya
dtmbh,di tambah
dtmpt,di tempat
dtng,datang
dttapkn,tetap
dtuntut,dituntun
duabelas,dua belas
duaduanya,dua duanya
duchh,aduh
duh,aduh
duit2,duit duit
dukungahok,dukung ahok
dukungfatwa,dukung fatwa
dukungfatwamui,dukung fatwa mui
duluan,lebih dahulu
duluw,dahulu
dunk,dong
durung,belum
dy,dia
dya,dia
dzolim,zalim
dzolimi,dizalimi
ea,iya
eagles,elang
ealah,iyalah
ech,eh
eehh,eh
egak,tidak
egh,eh
ehh,eh
ekong,kakek
elech,alah
elee,alah
elektibilitas,elektabilitas
elit,elite
elo,kamu
elu,kamu
eman,sayang
emang,memang
emangnya,memangnya
emank,memang
emg,memang
emng,memang
en,dan
ending,akhir
endingnya,akhir
engga,tidak
enjarakanahok,penjarakan ahok
enk,enak
entar,nanti
ente,kamu
entee,kamu
erti,mengerti
esbeye,susilo bambang yudhoyono
eskrim,es krim
eteb,bosan
everythings,segalanya
faham,paham
fanati,fanatik
fb,facebook
fcked,fuck
fears,fear
feb,februari
fikir,pikir
fikiran,pikiran
finah,fitnah
follback,ikuti
follbek,ikuti
followback,ikuti
follower,pengikut
followers,pengikut
freeahok,free ahok
futures,masa depan
g,tidak
ga,tidak
gaada,tidak ada
gabakal,tidak akan
gaberani,tidak berani
gabisa,tidak bisa
gaboleh,tidak boleh
gabut,kurang kerjaan
gada,tidak ada
gaenak,tidak enak
gaikut,tidak ikut
gajadi,tidak jadi
gajelas,tidak jelas
gak,tidak
gakuat,tidak kuat
gakz,tidak
galak2,galak galak
galo,galau
gamasuk,tidak masuk
gamau,tidak mau
ganbate,semangat
ganyangahok,ganyang ahok
ganyangcina,ganyang cina
gapake,tidak pakai
gapapa,tidak apa apa
gapapalah,tidak apalah
gapape,tidak apa
gapedulisamastatus,tidak peduli dengan status
gapernah,tidak pernah
gapunya,tidak punya
gara2,gara gara
garangangarangan,garang
garem,garam
gasuka,tidak suka
gatau,tak tau
gataw,tak tau
gatel,gatal
gausah,tidak usah
gawe,kerja
gbr,gambar
gdg,gudang
gece,gerak cepat
gelaja,gejala
gelarperkarasudahdiumumkan,gelar perkara sudah umum
gelik,geli
gelo,gila
gemes,gemas
gengges,ganggu
genks,geng
gera,gerak
gerja,gereja
ggl,gagal
ghiy,lagi
gi,lagi
gilak,gila
gile,gila
gilla,gila
gimana,bagaimana
gimanapun,bagaimanapun
gin,begini
ginian,beginian
gitu,begitu
gituan,begitu
gituh,begitu
gk,tidak
gmana,bagaimana
gmbr,gambar
gmn,bagaimana
gmna,bagaimana
gmpg,gampang
gmpng,gampang
gni,begini
gnti,ganti
goblog,goblok
goblog2in,goblok goblokin
going,pergi
gonna,pergi
gosipin,menggosipkan
gov,gubernur
governo,gubernur
governoor,gubernur
governor,gubernur
governour,gubernur
govt,perintah
goyangin,goyangkan
gpl,tidak pakai lama
gpny,tidak punya
gpp,tidak apa apa
gprnh,tidak pernah
gr,gede rasa
gr2,gara gara
gratisan,gratis
gregetan,geregetan
gt,begitu
gtu,begitu
gtw,tak tau
gua,gue
gub,gubernur
gubatauwalkot,gubernur atau walikota
gubenur,gubernur
guberenur,gubernur
guemewek,gue mewek
guoblog,goblok
gurbenur,gubernur
guwe,gue
gw,gue
gwe,gue
gws,semoga lekas sembuh
gx,tidak
ha,apa
habaib,habib
hacur,hancur
hadeh,aduh
hadeuh,aduh
hahaha,haha
hahahahaha,haha
hapal,hafal
hape,telepon genggam
happening,jadi
haq,hak
haqq,hakiki
hariharimu,hari harimu
harini,hari ini
haritoleransiinternasional,hari toleransi internasional
haritoleransinasional,hari toleransi nasional
hastag,tagar
hastage,tagar
haters,hater
hatinye,hatinya
hbd,selamat ulang tahun
hbis,habis
hbng,hubungi
hbngn,hubungan
hbs,habis
hbskn,habiskan
hdup,hidup
hebatx,hebatnya
helow,halo
hepi,senang
hepihepinya,senang senangnya
hera,heran
hestag,tagar
hestagnya,tagarnya
hesteg,tagar
hestek,tagar
hgga,hingga
hha,haha
hhaaa,haha
hidupgwselo,hidup saya santai
hilangin,hilangkan
hkm,hukum
hkum,hukum
hlg,hilang
hlm,halaman
hlmn,halaman
hmm,hem
hny,hanya
hnya,hanya
hoak,hoaks
hoaker,penyebar hoaks
hoakers,penyebar hoaks
hog,ahok
hok,ahok
hopeless,putus asa
hormatin,hormat
hotels,hotel
hr,hari
hrapan,harapan
hrg,harga
hrgny,harganya
hri,hari
hrs,harus
hrsny,seharusnya
hrsnya,seharusnya
hrus,harus
hsl,hasil
hti,hati
huah,wah
huakbar,allahu akbar
hub,hubung
hubunganya,hubung
huehue,hehe
hukumanny,hukumannya
hums,rumah
humz,rumah
huum,iya
huwallohu,allahu
hy,hanya
idelete,hapus
idup,hidup
igat,ingat
ihlas,ikhlas
ijo,hijau
iket,ikat
iki,ini
iklas,ikhlas
iku,ikut
ikutikutan,ikut ikutan
ikutin,ikuti
ilah,lah
ilang,hilang
ilangnya,hilangnya
imbau,himbau
imembela,saya membela
imwith,saya dengan
imwithahok,saya dengan ahok
ind,indonesia
indakk,tidak
independen,bebas
indo,indonesia
indonesian,indonesia
inget,ingat
ingetin,ingat
ingnikan,menginginkan
ingt,ingat
inibarujakarta,ini baru jakarta
inideh,ini deh
innocense,tidak bersalah
inoleran,tidak toleran
insallah,insyaallah
insha,insya
insyaa,insya
insyaalloh,insyaallah
insyallah,insyaallah
internationally,international
isa,bisa
iso,bisa
istandwithahok,saya berdiri dengan ahok
istrht,istirahat
item,hitam
its,ini
itumah,itu mah
iy,iya
iyach,iya
iyah,ya
iyap,iya
iyapz,iya
iyoo,iya
iyup,iya
iyupz,iya
iz,iya
iza,iya
izza,iya
ja,saja
jabaninn,layani
jabatanya,jabatannya
jadiin,jadikan
jadijadian,jadi jadian
jagan,jangan
jakanjing,the jack anjing
jakrta,jakarta
jambaners,para jamban
jamber,jam berapa
jan,jangan
janganmalasbaca,jangan malas baca
janganmaudibohongipakaikatatersangka,jangan mau bohong pakai kata sangka
jangas,jangan
janjikapolri,janji kapolri
jarot,djarot
jatoh,jatuh
jatohnya,jatuhnya
jatuhataumundur,jatuh mundur
jatuhin,jatuhi
jau,jauh
jd,jadi
jdi,jadi
jdkan,jadikan
jdny,jadinya
jdnya,jadinya
jdwl,jadwal
jebleh,jablay
jejelin,menjejalkan
jela,sajalah
jem,jam
jentelman,gentleman
jesica,jessica
jesika,jessica
jg,juga
jga,juga
jgan,jangan
jglh,jagalah
jgn,jangan
jgnjgn,jangan jangan
jgnn,jangan
jjurnnya,sejujurnya
jk,jika
jkarta,jakarta
jkrt,jakarta
jksaagung,jaksa agung
jkt,jakarta
jl,jalan
jln,jalan
jm,jam
jmbt,jembut
jmbtn,jembatan
jml,jumlah
jmlh,jumlah
jmpt,jemput
jmt,jumat
jng,jangan
jngan,jangan
jngn,jangan
joined,bergabung
jokowinetral,jokowi netral
jos,hebat
jpn,jepang
jrg,jarang
jrng,jarang
jt,juta
jubirnya,juru bicara
judulnye,judulnya
jungkirbalik,jungkir balik
jwb,jawab
jwbn,jawab
jwbny,jawab
kabeh,semua
kacian,kasihan
kaga,tidak
kagak,tidak
kaka,kakak
kalahin,kalahkan
kale,kali
kalee,kali
kalo,kalau
kalok,kalau
kalu,kalau
kamiahok,kami ahok
kamiahokk,kami ahok
kamibukan,kami bukan
kamibukanahok,kami bukan ahok
kamikamukitadanmereka,kami kamu kita mereka
kamimanusia,kami manusia
kammi,kami
kampany,kampanye
kampenye,kampanye
kanapa,kenapa
kandangin,kandangkan
kapir,kafir
kapolritangkapahok,kapolri tangkap ahok
kaporli,kepala kepolisian republik indonesia
karna,karena
karo,sama
karoke,karaoke
kasalndukung,asal dukung
kasi,kasih
kasian,kasihan
kasusunya,kasusnya
katanya2,katanya katanya
kau,kamu
kaulahhh,kamulah
kawalkasusahok,kawal kasus ahok
kawall,kawal
kawalterus,kawal terus
kayanya,sepertinya
kbakaran,kebakaran
kbnykn,kebanyakan
kbr,kabar
kbtln,kebetulan
kbusukan,kebusukan
kbykn,kebanyakan
kdg,kadang
kdng,kadang
kdpan,ke depan
kdpn,ke depan
kebawa,terbawa
kebereraniammu,keberanianmu
kebinekaan,kebhinekaan
kebhinnekaan,kebhinekaan
kebhinnekaannya,kebhinekaannya
kebncian,kebencian
kebon,kebun
kecakepan,terlalu cakap
kedholiman,kezaliman
keepcalm,tetap tenang
kegeeran,terlalu gede rasa
keiknya,sepertinya
kejadia,kejadian
kejahatankejahatannya,kejahatan kejahatannya
kejakarta,ke jakarta
kejaliman,kezaliman
kek,kayak
kekecewan,kekecewaan
keknya,sepertinya
kekuasaa,kekuasaan
kekuatanya,kekuatannya
kelaperan,kelaparan
kelar,selesai
kelen,kalian
keles,kali
keliatan,kelihatan
kelles,kali
kemane,ke mana
kemaren,kemarin
kembangin,kembangkan
keminter,sok pintar
kemnangan,menang
kenapah,kenapa
kenape,kenapa
kenaps,kenapa
kenapz,kenapa
kenceng,kencang
kencengin,kencangkan
kepengen,ingin
kepntingn,kepentingan
kepo,ingin tahu
kera2,kera kera
kerna,karena
kesalahanya,kesalahannya
kesampean,kesampaian
kesel,kesal
kesian,kasihan
ketawa,tertawa
ketidakadilan,ke tidak adilan
keujanan,kehujanan
keyen,keren
kezholiman,kezaliman
kga,tidak
kgak,tidak
kgk,tidak
khabar,kabar
khan,kan
khanz,kan
khsny,khusus
khwtr,khawatir
killafah,khilafah
kirain,kiraan
kirimin,kirimkan
kitaahok,kita ahok
kite,kita
kk,kakak
kkk,kakak
kkuasaan,kekuasaan
kl,kalau
klau,kalau
klh,kalah
kli,kali
kliatannya,kelihatannya
kliatn,kelihatan
klmat,kalimat
klmpk,kelompok
klo,kalau
klp,kelompok
kls,kelas
klu,kalau
kluar,keluar
kluarga,keluarga
klw,kalau
kmaren,kemarin
kmbali,kembali
kmenangn,menang
kmi,kami
kmn,ke mana
kmna,ke mana
kmps,kampus
kmr,kamar
kmren,kemarin
kmrin,kemarin
kmrn,kemarin
kmu,kamu
kmunduran,kemunduran
kn,kan
kna,kena
knapa,kenapa
knl,kenal
knows,tahu
knp,kenapa
knpa,kenapa
kntr,kantor
knyng,kenyang
ko,kok
kodekeras,kode keras
koentji,kunci
kolojengking,kalajengking
koment,komen
komplek,kompleks
koncox,teman
konsen,konsentrasi
konsititusi,konstitusi
konslet,korsleting
konstitusionalitas,konstitusi
koq,kok
korputor,koruptor
kosan,indekos
kouptor,koruptor
kowe,kamu
kpala,kepala
kpan,kapan
kpd,kepada
kpda,kepada
kpgn,ingin
kpn,kapan
kpngn,ingin
kredibility,kredibilitas
kren,keren
krena,karena
kresten,kristen
krg,kurang
krja,kerja
krmh,ke rumah
krn,karena
krna,karena
krng,kurang
krnkebanykn,karena banyak
krupuk,kerupuk
ksh,kasih
ksian,kasihan
ksih,kasih
ksmptn,kesempatan
ksn,ke sana
ksus,kasus
kt,kita
kta,kita
ktauan,ketahuan
ktdrn,ketiduran
ktemu,ketemu
ktika,ketika
ktmpt,ke tempat
ktmu,ketemu
ktny,kata
ktnya,kata
ktr,kantor
kudrat,kuadrat
kudu,harus
kui,itu
kultiwiit,twit
kuq,kok
kurng,kurang
kuwi,itu
kuy,ayo
kwal,kawal
kwalitas,kualitas
kwan,kawan
kwwkwkwkwkwkwkkw,wkwk
kya,kayak
kyak,seperti
kyaknya,sepertinya
kyanya,sepertinya
kyk,kayak
kykny,sepertinya
kyknya,sepertinya
kyny,sepertinya
kzl,kesal
ladenin,meladeni
laen,lain
laki2,laki laki
lakuin,laku
lalulintas,lalu lintas
lam,salam
lambemu,mulutmu
lambungkaan,lambungkan
lambungkeun,lambungkan
lanang,laki laki
landasanya,landasannya
lanjoot,lanjut
lanjutkeun,lanjutkan
lanjutt,lanjut
laper,lapar
laskarbanyuwangi,laskar banyuwangi
lawa,lawan
lawanlawannya,lawan lawannya
lb,lembar
lbh,lebih
lbih,lebih
leaders,pimpin
lebih2,lebih lebih
leh,boleh
lelaguan,mendengarkan lagu
lemes,lemas
lewatin,melewati
lewatkan,melewati
lg,lagi
lgi,lagi
lgkp,lengkap
lgs,langsung
lgsg,langsung
lgsng,langsung
lgsug,langsung
lgsung,langsung
lha,lah
liat,lihat
liatin,lihat
lisanny,lisannya
lkp,lengkap
lm,lama
lmyn,lumayan
lndasan,landasan
lngkp,lengkap
lngsg,langsung
lngsng,langsung
lngsung,langsung
lnjt,lanjut
lnsg,langsung
lnsng,langsung
lo,kamu
loe,kamu
loh,lah
lol,wkwk
lom,belum
lovers,pencinta
lp,lupa
lpngn,lapang
lpr,lapar
lsg,langsung
lu,kamu
luarbiasa,luar biasa
luchu,lucu
lucu2an,lucu lucuan
luh,kamu
lum,belum
lun,belum
lurahataucamat,lurah atau camat
luthu,lucu
lvl,level
lw,kamu
lwt,lewat
maaci,terima kasih
maacih,terima kasih
maap,maaf
maapin,maafkan
mabok,mabuk
mabu,mabuk
madesu,masa depan suram
maen,main
maenan,mainan
mager,malas gerak
mah,adalah
mahluk,makhluk
mahokers,ahoker
mahu,mau
maidah,al maidah
majuteruspantangmundur,maju terus pantang mundur
makaci,terima kasih
makana,makanya
makanmakannya,makan makannya
makanye,makanya
makasi,terima kasih
makasihhh,terima kasih
makn,makan
maksa,memaksa
maksdnya,maksudnya
maksih,terima kasih
malahnantanginumatislam,malah menantang umat islam
malem,malam
malem2,malam malam
males,malas
malming,malam minggu
maluin,memalukan
malumaluin,memalukan
mamam,makan
mampet,mampat
manaatausiapa,mana atau siapa
manang,menang
mane,mana
maneh,kamu
manggil,memanggil
maning,lagi
mano,mana
mantag,mantap
mantapp,mantap
mantep,mantap
manusia2,manusia manusia
mao,mau
maoo,mau
marabahaya,mara bahaya
masakin,memasakkan
masalalu,masa lalu
masayarakat,masyarakat
mascot,maskot
masiih,masih
masing2,masing masing
mateng,matang
matimatian,berusaha keras
maw,mau
mayan,lumayan
mbedain,membedakan
mberi,beri
mberikan,ikan
mboten,tidak
mbuat,buat
mburimu,di belakangmu
mcm,macam
mct,macet
mdg,lebih baik
mdgn,lebih baik
mdh,mudah
mdhmdhn,mudah mudahan
mdpt,dapat
mecah,pecah
mediskreditkan,mendiskreditkan
medukungmu,mendukungmu
mele,melulu
melihatataumenyaksikan,melihat atau menyaksikan
membadja,membaja
memilh,memilih
memperjuangakan,memperjuangkan
mempressure,menekan
menangin,menang
menbangun,bangun
mendingan,lebih baik
mendzolimi,menzalimi
menfitnah,memfitnah
mengganggap,menganggap
menghalangmenghalangi,menghalangi
menghayal,mengkhayal
menghimbau,himbau
mengugurkan,gugur
menizta,menista
menjawad,menjawab
menjd,jadi
menjdikan,jadi
menjdkn,jadi
menwrpa,menerpa
menyakini,meyakini
