original_id_x;date_created;resource_type;specific_resource_type;specific_type;post_type;stream_type;object_name;object_content;from_id;from_username;name;content;final_sentiment;from_display_picture;media_link;link;bio;reply_to_original_id;reply_to_user_id;retweet_from_original_id;retweet_from_user_id;identifikasi;original_id_y;content_y;link_y
141006609489_1099883905506164_1748643972000_e42758c3330b87850eae1df12b094c7b256d65ce35201835656e32e56a6d075c;31/05/2025 05.26.12;social_media;facebook;comment;talk;account;Universitas Indonesia;"1,41E+11";;;;Cara daftar gimana kak? Soalnya mo daftar;neutral;;;https://facebook.com/141006609489_1099883905506164_1748643972000_e42758c3330b87850eae1df12b094c7b256d65ce35201835656e32e56a6d075c;;141006609489_1099883905506164;"1,41E+11";;;no-take-out;141006609489_1099883905506164;"Halo, Calon Mahasiswa Baru UI Jalur UTBK-SNBT 2025!ðŸ‘‹ðŸ»  Satu langkah, satu babak sudah terlewatkan dengan penuh perjuangan dan air mata. Selamat bergabung di keluarga besar, kampus perjuangan, Universitas IndonesiaðŸ‡®ðŸ‡© ðŸ’›  Tahap selanjutnya adalah melakukan registrasi ulang melalui tautan pra-registrasi.ui.ac.id. Silakan simak dan catat tanggal-tanggal penting pada unggahan ""Tata Cara Registrasi Ulang"" berikut yaa.. ðŸ“Œ  Semangat!! âœ¨ðŸ¤©  #UniversitasIndonesia #MahasiswaBaruUI #SNBT2025 #KampusPerjuangan";https://facebook.com/141006609489_1099883905506164
141006609489_1075088847985670_1745835577000_1b15321bcb388913e42c7c9c8cd4fc1e8e0c171e03dc3c8d54fdc7b7e51e030d;28/04/2025 17.19.37;social_media;facebook;comment;talk;account;Universitas Indonesia;"1,41E+11";;;;"Cita-cita S2 mau ke UI meski masih lama, meski awalan S1 dari UT. ðŸ˜Š";positive ;;;https://facebook.com/141006609489_1075088847985670_1745835577000_1b15321bcb388913e42c7c9c8cd4fc1e8e0c171e03dc3c8d54fdc7b7e51e030d;;141006609489_1075088847985670;"1,41E+11";;;no-take-out;141006609489_1075088847985670;"Sehubungan dengan penerimaan mahasiswa baru Magister Akuntansi, kami sampaikan hal berikut ini:   - Ujian SIMAK UI Pascasarjana telah dilaksanakan pada 13 April 2025 dan 19 April 2025.  - Ujian tambahan berupa seleksi wawancara pada Magister Akuntansi selambat-lambatnya 2 Mei 2025.  - UI tidak bekerja sama dengan pihak manapun dalam proses penerimaan mahasiswa baru.  - UI tidak membuka jalur penerimaan mahasiswa baru lain, kecuali SIMAK UI.  - Peserta SIMAK UI Pascasarjana hanya dikenakan biaya pendaftaran dan tidak ada biaya tambahan lainnya. Biaya pendaftaran dibayarkan secara host to host, bukan rekening pribadi.  Harap waspada terkait dengan penawaran dari pihak manapun yang menjanjikan kemudahan diterima berkuliah di UI lewat jalur lain yang tidak resmi.  Terkait dengan SIMAK Pascasarjana Gelombang II, akan dilaksanakan sesuai waktu yang telah ditetapkan Direktorat Penerimaan Mahasiswa Baru melalui situs penerimaan.ui.ac.id   #UniversitasIndonesia #SIMAKUI #pascasarjanaUI";https://facebook.com/141006609489_1075088847985670
141006609489_1099060022255219_1748405734000_40dafa7500ad966787ac706542c12a0764760b8fb0faed9906e96c9f2500db48;28/05/2025 11.15.34;social_media;facebook;comment;talk;account;Universitas Indonesia;"1,41E+11";;;;"Doa dan harapan anakku lulus SNBT dan kuliah di UI, amin";positive ;;;https://facebook.com/141006609489_1099060022255219_1748405734000_40dafa7500ad966787ac706542c12a0764760b8fb0faed9906e96c9f2500db48;;141006609489_1099060022255219;"1,41E+11";;;no-take-out;141006609489_1099060022255219;"Halo, Para Pejuang SNBT ðŸ‘‹ðŸ»  Hari ini bukan sekadar pengumuman, ini adalah titik temu dari setiap doa dan usaha yang tak pernah berhenti meski sempat ingin menyerah. Siapkan diri kalian untuk pengumuman SNBT 2025 hari ini, Rabu 28 Mei pukul 15.00 WIB.   Masih ada waktu untuk terus berdoa agar mimpi belajar di universitas kebanggaan kalian dapat terwujud.  Jangan lupa untuk cek hasil pengumumanmu melalui tautan https://snbt.ui.ac.id/count.html yang dapat diakses pada pukul 15.00 WIB yaa ðŸ’›  Semoga sukses & sampai jumpa di Universitas Indonesia! ðŸ¤©  #UniversitasIndonesia #MahasiswaBaruUI  #SNBT2025 #KampusPerjuangan";https://facebook.com/141006609489_1099060022255219
"1,93E+18";21/05/2025 12.43.58;social_media;twitter;status;talk;keyword;universitas indonesia;universitas indonesia;"1,28E+18";xdinarye;ì—ì®¸;fuck universitas indonesia kontol;negative;https://pbs.twimg.com/profile_images/1924511613388005376/9vvueGby_normal.jpg;;https://twitter.com/xdinarye/status/1925065009199259965;viva palestina;;;;;no-take-out;;;
141006609489_1099060022255219_1748417240000_84e71287b8177400dab9dd2acc77337431928d2a615871ebc692848cf27b5395;28/05/2025 14.27.20;social_media;facebook;comment;talk;account;Universitas Indonesia;"1,41E+11";;;;"Gua Pdhl cuma jogging d kawasan UI, senengnya GK ketulung ðŸ¤­";positive ;;;https://facebook.com/141006609489_1099060022255219_1748417240000_84e71287b8177400dab9dd2acc77337431928d2a615871ebc692848cf27b5395;;141006609489_1099060022255219;"1,41E+11";;;no-take-out;141006609489_1099060022255219;"Halo, Para Pejuang SNBT ðŸ‘‹ðŸ»  Hari ini bukan sekadar pengumuman, ini adalah titik temu dari setiap doa dan usaha yang tak pernah berhenti meski sempat ingin menyerah. Siapkan diri kalian untuk pengumuman SNBT 2025 hari ini, Rabu 28 Mei pukul 15.00 WIB.   Masih ada waktu untuk terus berdoa agar mimpi belajar di universitas kebanggaan kalian dapat terwujud.  Jangan lupa untuk cek hasil pengumumanmu melalui tautan https://snbt.ui.ac.id/count.html yang dapat diakses pada pukul 15.00 WIB yaa ðŸ’›  Semoga sukses & sampai jumpa di Universitas Indonesia! ðŸ¤©  #UniversitasIndonesia #MahasiswaBaruUI  #SNBT2025 #KampusPerjuangan";https://facebook.com/141006609489_1099060022255219
"1,90E+18";17/03/2025 04.37.57;social_media;twitter;status;talk;keyword;universitas indonesia;universitas indonesia;"1,84E+18";studie2025;loviewâ€™Â²âµ || free tag!;h-1 jadi maba universitas indonesia jalur snbp 2025 (aamiin ya allah aamiin lolos snbp 2025 aamiin allahumma aamiin);neutral;https://pbs.twimg.com/profile_images/1872199397918035968/TW31azIL_normal.jpg;;https://twitter.com/studie2025/status/1901387484405363044;bismillah tahun 2025 lolos jadi mahasiswa PKNSTAN atau snbp Teknik Industri Universitas Indonesia (Aamiin) ðŸª·ðŸŒ¸ðŸª¸ðŸ’ðŸŒ·ðŸŒºðŸ’žðŸª·;;;;;no-take-out;;;
"1,90E+18";14/03/2025 04.16.19;social_media;twitter;status;talk;keyword;universitas indonesia;universitas indonesia;"1,84E+18";studie2025;loviewâ€™Â²âµ || free tag!;h-4 jadi maba universitas indonesia jalur snbp 2025 (aamiin ya allah aamiin lolos snbp 2025 aamiin allahumma aamiin);neutral;https://pbs.twimg.com/profile_images/1872199397918035968/TW31azIL_normal.jpg;;https://twitter.com/studie2025/status/1900294877147259160;bismillah tahun 2025 lolos jadi mahasiswa PKNSTAN atau snbp Teknik Industri Universitas Indonesia (Aamiin) ðŸª·ðŸŒ¸ðŸª¸ðŸ’ðŸŒ·ðŸŒºðŸ’žðŸª·;;;;;no-take-out;;;
"1,90E+18";13/03/2025 04.24.23;social_media;twitter;status;talk;keyword;universitas indonesia;universitas indonesia;"1,84E+18";studie2025;loviewâ€™Â²âµ || free tag!;h-5 jadi maba universitas indonesia jalur snbp 2025 (aamiin ya allah aamiin lolos snbp 2025 aamiin allahumma aamiin);neutral;https://pbs.twimg.com/profile_images/1872199397918035968/TW31azIL_normal.jpg;;https://twitter.com/studie2025/status/1899934520608252080;bismillah tahun 2025 lolos jadi mahasiswa PKNSTAN atau snbp Teknik Industri Universitas Indonesia (Aamiin) ðŸª·ðŸŒ¸ðŸª¸ðŸ’ðŸŒ·ðŸŒºðŸ’žðŸª·;;;;;no-take-out;;;
141006609489_1051459397015282_1742991717000_d844a005fccce51c34b85918cb3378f4070485d1aac56d9f21b029b5c3683aef;26/03/2025 19.21.57;social_media;facebook;comment;talk;account;Universitas Indonesia;"1,41E+11";;;;"Hadir, Saya alumni FT, prodi Teknik industri, angkatan 2008.";neutral;;;https://facebook.com/141006609489_1051459397015282_1742991717000_d844a005fccce51c34b85918cb3378f4070485d1aac56d9f21b029b5c3683aef;;141006609489_1051459397015282;"1,41E+11";;;no-take-out;141006609489_1051459397015282;"â€œTernyata, mbak-mbak yang membacakan berita di TV itu adalah sayaâ€. Hai, Saya Fatimah Albar, Alumni Fakultas Ilmu Administrasi, Prodi Administrasi Negara, Universitas Indonesia. Dan saya ingin sedikit membagikan kisah tentang bagaimana pengalaman berkuliah di UI benar-benar menjadi pondasi yang telah membentuk karakter yang saya miliki hingga sekarang.  Menjalani masa perkuliahan di Jurusan Administrasi Negara, membuat saya belajar banyak hal, tentang pemerintahan, kebijakan publik, dan tata kelola administrasi negara. Pemahaman mendalam mengenai dinamika pemerintahan inilah yang kemudian menjadi landasan kuat dan bekal berharga bagi saya dalam meniti perjalanan karir di dunia jurnalistik.  Dengan semangat, mimpi, dan dedikasi. Saya berhasil menjadi reporter yang mampu meliput berbagai peristiwa penting, melakukan wawancara langsung dengan berbagai tokoh maupun narasumber ternama, sehingga akhirnya saat ini dipercaya sebagai news anchor.   Melalui profesi ini, saya sangat bersyukur karena saya tidak hanya menyampaikan berita kepada publik, tetapi juga berupaya memberikan berbagai informasi yang akurat, mendalam, dan bernilai bagi masyarakat.   Fatimah Albar Alumni FIA angkatan 2015  #UIProfile #UniversitasIndonesia";https://facebook.com/141006609489_1051459397015282
"1,93E+18";28/05/2025 15.55.51;social_media;twitter;status;talk;keyword;universitas indonesia;universitas indonesia;"1,80E+18";blueestmoon;faniy ð‚‚;hai antropologi sosial universitas indonesia angkatan 25 ðŸ˜ðŸ˜ðŸ˜;neutral;https://pbs.twimg.com/profile_images/1861526828672061440/BJ-OJEbZ_normal.jpg;;https://twitter.com/blueestmoon/status/1927650012781326373;@ramenkutek ^â€¢^antrop24;;;;;no-take-out;;;
"1,93E+18";02/06/2025 21.02.55;social_media;twitter;status;talk;keyword;universitas indonesia;universitas indonesia;"1,80E+18";aenin;Öºave;"hai sos sosiologi ui universitas indonesia ayo bersahabat denganku #pleek sosio 2025 goyang 25 followan plis plis banget ini mah looking for mutuals fisip ui esp kesos, hi (hi juga), ilkom, ilpol, antrop (lovingly), krim   #fff #followforfollow #oomf";neutral;https://pbs.twimg.com/profile_images/1906687408139284480/eyFO8r4S_normal.jpg;;https://twitter.com/aenin/status/1929539225361260964;i tweet whatever comes in mind;;;;;no-take-out;;;
"1,90E+18";18/03/2025 15.10.37;social_media;twitter;status;talk;keyword;universitas indonesia;universitas indonesia;"1,19E+18";chloefllower;Chloe RosÃ©;HALOOOO BUAT TEMEN TEMEN YANG KETERIMA ANTROPOLOGI SOSIAL UI JALUR SNBP SILAHKAN LAPOR DIRI DIMARI YAH!! CONGRATS ðŸ’š  tag. Antropologi sosial antropologi ui antrop antrops antro social anthropology anthro universitas indonesia https://t.co/n4nLARQcXK;neutral;https://pbs.twimg.com/profile_images/1887180221511839744/VoHA_y6X_normal.jpg;;https://twitter.com/chloefllower/status/1901909089397125423;"Personal acc !! they/she/he ðŸ #24 #77 #1 #27 ðŸŽðŸ’¨ #EDG #T1 #PRX ðŸŽ® Detective Conan, Sherlock Holmes, & Agatha Christie ðŸ”Ž https://t.co/43pytlODEz âœ§";;;;;no-take-out;;;
141006609489_1050762527084969_1743111720000_7a927a3c3f566d600ff1bfd21b6d0333845c3f13fa0faa4f3b23d1a7f0648fc9;28/03/2025 04.42.00;social_media;facebook;comment;talk;account;Universitas Indonesia;"1,41E+11";;;;Kapan pengumuman pembukaan mahasiswa baru S-3 FH admin yang saya hormati?;neutral;;;https://facebook.com/141006609489_1050762527084969_1743111720000_7a927a3c3f566d600ff1bfd21b6d0333845c3f13fa0faa4f3b23d1a7f0648fc9;;141006609489_1050762527084969;"1,41E+11";;;no-take-out;141006609489_1050762527084969;"Imbauan Waspada Penipuan Jalur Masuk UI  Universitas Indonesia tidak pernah bekerja sama dengan pihak manapun yang menjanjikan kemudahan untuk masuk dan menjadi Mahasiswa UI ataupun oknum yang menawarkan kelulusan dengan imbalan.   Informasi resmi mengenai jalur masuk penerimaan mahasiswa baru hanya dikeluarkan oleh Direktorat Humas, Media, Pemerintah, dan Internasional (DHMPI), dan Direktorat Penerimaan Mahasiswa Baru (DPMB).   Jika menemukan kasus penipuan yang mengatasnamakan UI, mohon dapat melapor kepada Sentra Informasi dan Pelayanan Publik (SIPP) melalui whatsapp 0815-1500-0002, hotline 1500-002, atau email humas-ui@ui.ac.id.  #UniversitasIndonesia #SNPMB2025 #SIMAKUI #PPKB #TalentScouting #SNBP #SNBT";https://facebook.com/141006609489_1050762527084969
141006609489_1035254385302450_1741681783000_23f5f1191671da469b9f7ee8d1f0074fec4bed0dc89fc4d03ed2197fb9f99205;11/03/2025 15.29.43;social_media;facebook;comment;talk;account;Universitas Indonesia;"1,41E+11";;;;Luar biasa sukses selalu kampusku Universitas Indonesia...ðŸ™ðŸ™;positive ;;;https://facebook.com/141006609489_1035254385302450_1741681783000_23f5f1191671da469b9f7ee8d1f0074fec4bed0dc89fc4d03ed2197fb9f99205;;141006609489_1035254385302450;"1,41E+11";;;no-take-out;141006609489_1035254385302450;"Selamat dan sukses atas pengukuhan Guru Besar Tetap Universitas Indonesia dari Fakultas Teknik.  ðŸŽ“Prof. Sugeng Supriadi, S.T., M.S.Eng., Ph.D., ðŸŽ“ Prof. Dr. Ir. Ahmad Indra Siswantara, dan ðŸŽ“ Prof. Dr. Ir. Dodi Sudiana, M.Eng  â€”â€”â€”â€”â€”â€” Semoga senantiasa menginspirasi serta berperan aktif dalam memajukan almamater Universitas Indonesia di bidang keteknikan dan sains, menuju UI - Unggul Impactful Untuk IndonesiaðŸ’™ðŸ‡®ðŸ‡©  #UniversitasIndonesia #GuruBesar  #Teknik #FTUI";https://facebook.com/141006609489_1035254385302450
"1,90E+18";18/03/2025 13.21.45;social_media;twitter;status;talk;keyword;universitas indonesia;universitas indonesia;"1,90E+18";naaah47;hi;Maba universitas indonesia aamiin;neutral;https://pbs.twimg.com/profile_images/1899711796975423488/7qmBQp4b_normal.jpg;;https://twitter.com/naaah47/status/1901881692476129329;Maba uiÂ²âµ fisioterapi;"1,90E+18";"1,90E+18";;;no-take-out;;;
141006609489_1097755905718964_1748249502000_083c5460e0956209acab0d62a4b3847d92f0b999a57debc3b3adca92aa067e55;26/05/2025 15.51.42;social_media;facebook;comment;talk;account;Universitas Indonesia;"1,41E+11";;;;Mantap dan keren semoga Universitas Indonesia ke depan makin lebih sukses;positive ;;;https://facebook.com/141006609489_1097755905718964_1748249502000_083c5460e0956209acab0d62a4b3847d92f0b999a57debc3b3adca92aa067e55;;141006609489_1097755905718964;"1,41E+11";;;no-take-out;141006609489_1097755905718964;Universitas Indonesia kembali meraih dua penghargaan dalam ajang SPS Awards 2025 yang diselenggarakan Serikat Perusahaan Pers (SPS) pada Jumat 23 Mei lalu.  UI meraih Bronze Winner pada Kategori Indonesia Inhouse Magazine Awards (InMA) sebagai Majalah Internal Universitas Terbaik dan Bronze Winner pada Kategori Indonesia Digital Media Awards (IDMA) sebagai Media Sosial Universitas Terbaik.  Penghargaan ini adalah hasil dari upaya memberikan informasi yang akurat kepada akademisi maupun publik terkait aktivitas UI di media konvensional maupun digital.   #UniversitasIndonesia #ProudToBeUI #ceritaPrestasi #spsaward;https://facebook.com/141006609489_1097755905718964
141006609489_1040111334816755_1741686419000_5ae796c0e6772e27bb6dbcc703a8cc6c669fe7ea44af04ae0fcd08b306d61134;11/03/2025 16.46.59;social_media;facebook;comment;talk;account;Universitas Indonesia;"1,41E+11";;;;Mantap lannjutkan semoga makin sukses Universitas Indonesia;positive ;;;https://facebook.com/141006609489_1040111334816755_1741686419000_5ae796c0e6772e27bb6dbcc703a8cc6c669fe7ea44af04ae0fcd08b306d61134;;141006609489_1040111334816755;"1,41E+11";;;no-take-out;141006609489_1040111334816755;"Hello, Prospective Students of Universitas Indonesia!ðŸ‘‹ðŸ»  UI Great Scholarship Program for Masterâ€™s Degree Program from Foreign Countries is open from February 17th to March 27th, 2025.  Check this post for important dates and admission details. Stay tuned for further updates and donâ€™t forget to keep up with other information by following our Instagram.â€¼ï¸âœ¨  #UniversitasIndonesia #UIGreatScholarship  #ForeignStudent";https://facebook.com/141006609489_1040111334816755
